epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1942,1.15912,4.50163,1.27558,0.25778,0.15007,0.07822,0.05779,0.87631,3.11259,1.0743,9.22146e-05,9.22146e-05,9.22146e-05
2,186.291,1.15588,3.59728,1.28111,0.35589,0.33316,0.25694,0.19293,0.90936,2.26109,1.11997,0.000183051,0.000183051,0.000183051
3,275.11,1.16656,2.91898,1.27352,0.43506,0.45556,0.3957,0.29624,0.90285,1.76278,1.10182,0.000272053,0.000272053,0.000272053
4,359.827,1.14352,2.46701,1.25842,0.39051,0.53127,0.45938,0.35535,0.88015,1.57748,1.08674,0.000269743,0.000269743,0.000269743
5,444.128,1.118,2.26819,1.24467,0.43785,0.61442,0.51602,0.38954,0.90163,1.48173,1.09657,0.000266991,0.000266991,0.000266991
6,531.441,1.08528,2.10199,1.22798,0.51846,0.58978,0.55554,0.43343,0.83672,1.2828,1.06551,0.000264239,0.000264239,0.000264239
7,616.676,1.07244,1.97138,1.20788,0.57841,0.56848,0.57991,0.45476,0.83029,1.31277,1.06281,0.000261487,0.000261487,0.000261487
8,702.786,1.07274,1.88374,1.2097,0.57723,0.60209,0.59776,0.47007,0.86566,1.21749,1.07752,0.000258735,0.000258735,0.000258735
9,790.794,1.02908,1.75602,1.17929,0.63946,0.61387,0.61307,0.48027,0.81362,1.15426,1.04914,0.000255982,0.000255982,0.000255982
10,878.178,1.03694,1.71035,1.18151,0.66232,0.60302,0.62358,0.50138,0.79988,1.10757,1.03395,0.00025323,0.00025323,0.00025323
11,964.214,1.02514,1.62434,1.1818,0.62215,0.63786,0.61959,0.48016,0.83534,1.12311,1.06843,0.000250478,0.000250478,0.000250478
12,1049.97,1.01172,1.57829,1.17108,0.69753,0.63936,0.65042,0.51742,0.81034,1.08577,1.0591,0.000247726,0.000247726,0.000247726
13,1141.18,1.0024,1.52488,1.16552,0.58957,0.64126,0.62061,0.48581,0.83328,1.09549,1.06822,0.000244974,0.000244974,0.000244974
14,1230.8,0.99021,1.4677,1.16214,0.57235,0.68725,0.65659,0.5217,0.80756,1.10748,1.04976,0.000242221,0.000242221,0.000242221
15,1317.56,0.96935,1.40767,1.14752,0.62316,0.71887,0.66411,0.51329,0.79861,1.02502,1.05157,0.000239469,0.000239469,0.000239469
16,1401.29,0.96992,1.3654,1.1437,0.66541,0.68787,0.66921,0.52996,0.81575,1.06887,1.03808,0.000236717,0.000236717,0.000236717
17,1488.54,0.95419,1.31901,1.14534,0.6738,0.65215,0.68468,0.53678,0.79627,1.01301,1.05458,0.000233965,0.000233965,0.000233965
18,1576.2,0.93376,1.27595,1.1278,0.59765,0.7165,0.66433,0.52738,0.78468,1.01157,1.03405,0.000231213,0.000231213,0.000231213
19,1660.74,0.93265,1.24283,1.12967,0.65894,0.70928,0.6919,0.55448,0.76983,0.96538,1.02603,0.00022846,0.00022846,0.00022846
20,1748.77,0.94046,1.23719,1.12992,0.65037,0.72223,0.68274,0.54252,0.82552,1.0022,1.05312,0.000225708,0.000225708,0.000225708
