epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.792,1.17422,4.14157,1.28562,0.61321,0.09484,0.09423,0.0712,1.12884,3.11838,1.21743,0.000235356,0.000235356,0.000235356
2,322.113,1.17722,2.64577,1.29805,0.37501,0.30792,0.20206,0.14958,1.14221,2.26988,1.28906,0.000468811,0.000468811,0.000468811
3,474.832,1.15595,2.17608,1.27147,0.36782,0.36795,0.23616,0.17584,1.1297,2.12056,1.21075,0.000697698,0.000697698,0.000697698
4,632.558,1.1266,1.94298,1.2546,0.52354,0.3037,0.2746,0.20272,1.10944,2.01438,1.22686,0.000693437,0.000693437,0.000693437
5,784.281,1.08024,1.76603,1.23105,0.50345,0.38156,0.32986,0.25219,1.04557,1.7453,1.20257,0.000686582,0.000686582,0.000686582
6,937.069,1.07733,1.67326,1.22822,0.49229,0.42431,0.36881,0.28696,0.99017,1.60118,1.13516,0.000679728,0.000679728,0.000679728
7,1091.39,1.05562,1.61211,1.21006,0.57364,0.42684,0.38833,0.30119,0.98238,1.4879,1.13795,0.000672874,0.000672874,0.000672874
8,1244.61,1.00814,1.50127,1.1893,0.54207,0.43029,0.39616,0.31014,0.94492,1.49027,1.12514,0.000666019,0.000666019,0.000666019
9,1397.58,1.03233,1.501,1.19896,0.57873,0.46866,0.44059,0.34614,0.92175,1.36825,1.10647,0.000659165,0.000659165,0.000659165
10,1552.24,1.0139,1.45619,1.18918,0.49278,0.47016,0.42133,0.3285,0.93961,1.36863,1.12033,0.00065231,0.00065231,0.00065231
11,1705.17,0.99812,1.4294,1.1784,0.53245,0.48888,0.42742,0.33691,0.90805,1.37509,1.09466,0.000645456,0.000645456,0.000645456
12,1856.46,0.99482,1.41164,1.17642,0.62292,0.49044,0.47632,0.377,0.89899,1.26386,1.10116,0.000638602,0.000638602,0.000638602
13,2007.21,0.97404,1.36965,1.16652,0.60807,0.4845,0.47742,0.37722,0.9007,1.24966,1.09385,0.000631747,0.000631747,0.000631747
14,2158.34,0.9759,1.35055,1.16822,0.53649,0.50152,0.46001,0.36573,0.90226,1.30917,1.08614,0.000624893,0.000624893,0.000624893
15,2308.85,0.97859,1.33146,1.16751,0.48864,0.52601,0.47176,0.37288,0.92735,1.30333,1.08626,0.000618038,0.000618038,0.000618038
16,2459.87,0.95891,1.30426,1.15473,0.54074,0.52937,0.49015,0.38717,0.87707,1.22115,1.07618,0.000611184,0.000611184,0.000611184
17,2610.61,0.95234,1.31736,1.15523,0.59047,0.53264,0.50591,0.40104,0.88575,1.19872,1.0828,0.00060433,0.00060433,0.00060433
18,2762.59,0.94164,1.27219,1.14393,0.63205,0.50357,0.51811,0.41371,0.85388,1.19784,1.06053,0.000597475,0.000597475,0.000597475
19,2912.72,0.94313,1.24652,1.14112,0.54201,0.52914,0.50257,0.40204,0.84532,1.16892,1.05837,0.000590621,0.000590621,0.000590621
20,3062.99,0.93602,1.2616,1.14654,0.56038,0.55152,0.52088,0.41905,0.84287,1.15144,1.05668,0.000583766,0.000583766,0.000583766
21,3213.01,0.92481,1.21768,1.13295,0.51217,0.57076,0.51941,0.41497,0.8634,1.14897,1.06681,0.000576912,0.000576912,0.000576912
22,3364.64,0.9295,1.22668,1.13879,0.58302,0.56276,0.54013,0.43022,0.83268,1.09872,1.05283,0.000570058,0.000570058,0.000570058
23,3515.48,0.92654,1.1972,1.13398,0.56679,0.60424,0.56742,0.45029,0.84223,1.04624,1.04954,0.000563203,0.000563203,0.000563203
24,3666.79,0.91449,1.18959,1.13026,0.58218,0.59782,0.56057,0.45179,0.82682,1.05216,1.04578,0.000556349,0.000556349,0.000556349
25,3817.73,0.91854,1.19357,1.12934,0.61377,0.57896,0.56823,0.45343,0.82926,1.04781,1.0496,0.000549494,0.000549494,0.000549494
26,3967.5,0.90367,1.17306,1.12256,0.62579,0.58177,0.54917,0.44376,0.82241,1.06721,1.04041,0.00054264,0.00054264,0.00054264
27,4121.93,0.88931,1.1457,1.11651,0.57535,0.58166,0.56486,0.45589,0.81484,1.0376,1.04611,0.000535786,0.000535786,0.000535786
28,4274.2,0.90075,1.1525,1.11887,0.60744,0.56797,0.56886,0.45991,0.82812,1.06517,1.0475,0.000528931,0.000528931,0.000528931
29,4426.02,0.88897,1.13057,1.1144,0.57849,0.60821,0.57928,0.46797,0.81094,1.0351,1.03136,0.000522077,0.000522077,0.000522077
30,4577.59,0.88123,1.11494,1.10415,0.60049,0.59668,0.58864,0.4727,0.80563,1.003,1.03878,0.000515222,0.000515222,0.000515222
31,4730.18,0.88608,1.14874,1.11435,0.57306,0.62757,0.58748,0.47167,0.80476,1.00837,1.03514,0.000508368,0.000508368,0.000508368
32,4879.6,0.88284,1.11993,1.10969,0.61563,0.61188,0.59561,0.48024,0.80308,0.99853,1.03624,0.000501514,0.000501514,0.000501514
33,5028.79,0.87347,1.10852,1.1092,0.66898,0.60504,0.61386,0.49483,0.78678,0.96356,1.03493,0.000494659,0.000494659,0.000494659
34,5177.57,0.88647,1.1299,1.11355,0.62774,0.60649,0.60353,0.48898,0.79513,1.01268,1.03255,0.000487805,0.000487805,0.000487805
35,5326.76,0.87625,1.10155,1.10801,0.634,0.61957,0.61345,0.49564,0.78674,0.93989,1.02561,0.00048095,0.00048095,0.00048095
36,5477.41,0.88209,1.10426,1.10632,0.62292,0.62599,0.61564,0.49818,0.78453,0.9495,1.02327,0.000474096,0.000474096,0.000474096
37,5629.85,0.86747,1.0776,1.10393,0.62424,0.63269,0.6232,0.50576,0.78539,0.93941,1.02411,0.000467242,0.000467242,0.000467242
38,5779.39,0.85853,1.06558,1.09838,0.62839,0.62099,0.6186,0.50041,0.77402,0.93477,1.02102,0.000460387,0.000460387,0.000460387
39,5934.16,0.87725,1.09109,1.1071,0.63976,0.63958,0.63124,0.50686,0.77966,0.91958,1.02098,0.000453533,0.000453533,0.000453533
40,6085.8,0.84989,1.05683,1.09259,0.63377,0.61539,0.62643,0.506,0.78269,0.93064,1.02174,0.000446678,0.000446678,0.000446678
41,6239.16,0.8578,1.07026,1.10012,0.64226,0.64829,0.64387,0.52134,0.76637,0.9051,1.01849,0.000439824,0.000439824,0.000439824
42,6390.13,0.85594,1.06398,1.0996,0.65153,0.63269,0.64481,0.52098,0.77287,0.89935,1.01683,0.00043297,0.00043297,0.00043297
43,6539.97,0.84138,1.0276,1.08715,0.65626,0.64145,0.65505,0.53127,0.76139,0.87418,1.01112,0.000426115,0.000426115,0.000426115
44,6688.68,0.84467,1.04535,1.09179,0.6762,0.64015,0.65522,0.53322,0.75752,0.87631,1.01258,0.000419261,0.000419261,0.000419261
45,6840.22,0.8597,1.06511,1.09623,0.6415,0.65271,0.6447,0.5285,0.7536,0.89957,1.00642,0.000412406,0.000412406,0.000412406
46,6992.92,0.84745,1.03515,1.09458,0.63398,0.6598,0.64149,0.5237,0.75942,0.88878,1.01385,0.000405552,0.000405552,0.000405552
47,7143.52,0.85179,1.03897,1.09934,0.66366,0.64762,0.65408,0.53181,0.75652,0.87544,1.00929,0.000398698,0.000398698,0.000398698
48,7295.13,0.83882,1.02414,1.08634,0.66832,0.66322,0.67242,0.54911,0.74964,0.85209,1.00452,0.000391843,0.000391843,0.000391843
49,7446,0.82904,1.01183,1.08517,0.67968,0.64428,0.67353,0.54609,0.75245,0.85368,1.00693,0.000384989,0.000384989,0.000384989
50,7595.83,0.83998,1.01983,1.08766,0.66446,0.6635,0.66394,0.53948,0.75276,0.86526,1.00257,0.000378134,0.000378134,0.000378134
51,7744.43,0.83182,1.00284,1.08199,0.65301,0.68527,0.67638,0.55227,0.73996,0.83829,0.9998,0.00037128,0.00037128,0.00037128
52,7894.11,0.8388,1.01515,1.08825,0.67997,0.6621,0.67989,0.55813,0.74066,0.83848,0.99771,0.000364426,0.000364426,0.000364426
53,8044.44,0.82714,0.98331,1.0828,0.69457,0.65535,0.67618,0.55442,0.73997,0.83229,0.99912,0.000357571,0.000357571,0.000357571
54,8195.74,0.82507,0.97881,1.07844,0.6958,0.65897,0.68552,0.56218,0.73086,0.8257,0.99589,0.000350717,0.000350717,0.000350717
55,8349.02,0.82241,0.97324,1.06597,0.68776,0.65997,0.68529,0.56173,0.72716,0.81349,0.98983,0.000343862,0.000343862,0.000343862
56,8500.45,0.81577,0.97177,1.07572,0.69879,0.67143,0.69294,0.56691,0.72349,0.80561,0.9915,0.000337008,0.000337008,0.000337008
57,8653.01,0.8173,0.96312,1.07336,0.6687,0.68243,0.68899,0.56501,0.7282,0.81029,0.98955,0.000330154,0.000330154,0.000330154
58,8802.8,0.81825,0.97464,1.07601,0.6918,0.6893,0.69561,0.56979,0.72664,0.8017,0.99442,0.000323299,0.000323299,0.000323299
59,8953.37,0.81459,0.96895,1.07357,0.70071,0.67897,0.70156,0.57657,0.71603,0.79404,0.98584,0.000316445,0.000316445,0.000316445
60,9104.92,0.80409,0.94868,1.06783,0.69068,0.67199,0.69297,0.56925,0.7196,0.79716,0.9847,0.00030959,0.00030959,0.00030959
61,9257.47,0.81503,0.97327,1.07216,0.69098,0.6812,0.69647,0.57121,0.7193,0.79522,0.98526,0.000302736,0.000302736,0.000302736
62,9408.3,0.80553,0.95479,1.06922,0.68931,0.70186,0.71279,0.58681,0.71238,0.77189,0.98167,0.000295882,0.000295882,0.000295882
63,9558.84,0.80539,0.96414,1.07008,0.68891,0.68802,0.71193,0.58652,0.70633,0.77275,0.98231,0.000289027,0.000289027,0.000289027
64,9709.72,0.80619,0.96185,1.06508,0.71714,0.67494,0.70856,0.58468,0.7084,0.77191,0.97779,0.000282173,0.000282173,0.000282173
65,9860.98,0.80387,0.94434,1.06789,0.70379,0.68347,0.70849,0.58277,0.70899,0.768,0.97681,0.000275318,0.000275318,0.000275318
66,10012.7,0.79054,0.92758,1.05997,0.71836,0.68898,0.72039,0.59241,0.70628,0.75816,0.97814,0.000268464,0.000268464,0.000268464
67,10162.3,0.7958,0.93941,1.06249,0.70612,0.69166,0.71774,0.59221,0.70184,0.77009,0.97955,0.00026161,0.00026161,0.00026161
68,10310.9,0.77867,0.9222,1.0553,0.71296,0.69496,0.71967,0.5951,0.69316,0.75893,0.97288,0.000254755,0.000254755,0.000254755
69,10461.3,0.78093,0.91499,1.05498,0.7199,0.69681,0.72481,0.59753,0.70171,0.75084,0.9768,0.000247901,0.000247901,0.000247901
70,10612.8,0.77045,0.89945,1.04989,0.73882,0.68403,0.72415,0.59626,0.69863,0.74799,0.97465,0.000241046,0.000241046,0.000241046
71,10766,0.78436,0.90767,1.05336,0.72787,0.70138,0.73292,0.60583,0.69155,0.73292,0.97237,0.000234192,0.000234192,0.000234192
72,10918.6,0.78676,0.9178,1.05505,0.71773,0.70396,0.72883,0.60052,0.69369,0.74054,0.97033,0.000227338,0.000227338,0.000227338
73,11067.6,0.76728,0.88782,1.04959,0.71822,0.70377,0.72828,0.60045,0.69436,0.74735,0.975,0.000220483,0.000220483,0.000220483
74,11217.6,0.78346,0.9096,1.05441,0.72525,0.70704,0.73439,0.60686,0.68765,0.73447,0.97119,0.000213629,0.000213629,0.000213629
75,11368.2,0.78247,0.90518,1.05584,0.72398,0.71172,0.73894,0.61272,0.68023,0.72199,0.96553,0.000206774,0.000206774,0.000206774
76,11518.8,0.78309,0.9044,1.05378,0.73436,0.72153,0.74138,0.61384,0.68295,0.71964,0.9645,0.00019992,0.00019992,0.00019992
77,11668.3,0.7663,0.87885,1.04176,0.7301,0.72579,0.7477,0.61941,0.68079,0.71027,0.96399,0.000193066,0.000193066,0.000193066
78,11819.3,0.77389,0.89751,1.04775,0.72902,0.72669,0.74305,0.61544,0.6833,0.7187,0.96384,0.000186211,0.000186211,0.000186211
79,11967.8,0.76975,0.87865,1.04629,0.72745,0.71801,0.74386,0.61736,0.68156,0.71646,0.96168,0.000179357,0.000179357,0.000179357
